sim.id,variable,measurement,method,value
16,mu,sd,mfvb,0.0394257425636549
16,tau,sd,mfvb,0.086829436032436
16,log_tau,sd,mfvb,0.0630566245743312
16,mu,sd,lrvb,0.0560772504738389
16,tau,sd,lrvb,0.148719498338312
16,log_tau,sd,lrvb,0.107931365571302
16,mu,mean,mcmc,1.3684556147481
16,mu,sd,mcmc,0.0590521161875929
16,mu,effsize,mcmc,1244.37550506808
16,tau,mean,mcmc,1.31308831031161
16,tau,sd,mcmc,0.149666689862
16,tau,effsize,mcmc,1040.4955324491
16,log_tau,mean,mcmc,0.265920199940558
16,log_tau,sd,mcmc,0.113770101758564
17,mu,mean,truth,1.08201552569548
17,tau,mean,truth,1.09641855932329
17,log_tau,mean,truth,0.0920490128144381
17,mu,mean,mfvb,1.05143124137449
17,tau,mean,mfvb,1.20183342870448
17,log_tau,mean,mfvb,0.181862808825925
17,mu,sd,mfvb,0.0422217674341127
17,tau,sd,mfvb,0.0757083897541935
17,log_tau,sd,mfvb,0.0630566245743312
17,mu,sd,lrvb,0.0592657883496813
17,tau,sd,lrvb,0.133550442430065
17,log_tau,sd,lrvb,0.111157724899096
17,mu,mean,mcmc,1.05026585625179
17,mu,sd,mcmc,0.0590656029848968
17,mu,effsize,mcmc,1429.44225945183
17,tau,mean,mcmc,1.13091615513367
17,tau,sd,mcmc,0.130835878070732
17,tau,effsize,mcmc,1036.32881969409
17,log_tau,mean,mcmc,0.11639621684968
17,log_tau,sd,mcmc,0.115139268376197
18,mu,mean,truth,1.84917880261861
18,tau,mean,truth,2.8023919514408
18,log_tau,mean,truth,1.03047332087332
18,mu,mean,mfvb,1.8283011855791
18,tau,mean,mfvb,3.20161210825418
18,log_tau,mean,mfvb,1.16166902754328
18,mu,sd,mfvb,0.0258701157953108
18,tau,sd,mfvb,0.201682605546042
18,log_tau,sd,mfvb,0.0630566245743312
18,mu,sd,lrvb,0.0392594488869628
18,tau,sd,lrvb,0.431315546169095
18,log_tau,sd,lrvb,0.134747496958298
18,mu,mean,mcmc,1.82747912348552
18,mu,sd,mcmc,0.0399912802355021
18,mu,effsize,mcmc,1300.99854046877
18,tau,mean,mcmc,3.1823035010355
18,tau,sd,mcmc,0.457375064973866
18,tau,effsize,mcmc,822.456809474862
18,log_tau,mean,mcmc,1.14750893915285
18,log_tau,sd,mcmc,0.141756553339386
19,mu,mean,truth,1.17421496639914
19,tau,mean,truth,1.34028177655161
19,log_tau,mean,truth,0.29287987286553
19,mu,mean,mfvb,1.1484949407211
19,tau,mean,mfvb,1.25883110686904
19,log_tau,mean,mfvb,0.228198158193523
19,mu,sd,mfvb,0.0412549978395528
19,tau,sd,mfvb,0.0792989059858967
19,log_tau,sd,mfvb,0.0630566245743312
19,mu,sd,lrvb,0.0579426347467384
19,tau,sd,lrvb,0.136770961137692
19,log_tau,sd,lrvb,0.108685450486485
19,mu,mean,mcmc,1.14438052941927
19,mu,sd,mcmc,0.0580205780882981
19,mu,effsize,mcmc,1320.57109086383
19,tau,mean,mcmc,1.19842636364961
19,tau,sd,mcmc,0.135978598504924
19,tau,effsize,mcmc,760.446105858321
19,log_tau,mean,mcmc,0.17463481058124
19,log_tau,sd,mcmc,0.112873166576421
20,mu,mean,truth,2.49039214851878
20,tau,mean,truth,9.37848023907334
