sim.id,method,component,x
7,mcmc,12,0.0378559187607826
7,mcmc,13,0.000301351955765338
7,mcmc,14,0.00109193879724796
7,mcmc,15,0.0378559187607826
7,mcmc,16,0
8,lrvb,1,0
8,lrvb,2,0.00833881123834063
8,lrvb,3,0.000730321393207064
8,lrvb,4,0.000291347183353758
8,lrvb,5,0.00833881123834063
8,lrvb,6,0
8,lrvb,7,0.00273448283059248
8,lrvb,8,0.00109086749756001
8,lrvb,9,0.000730321393206803
8,lrvb,10,0.00273448283059148
8,lrvb,11,0
8,lrvb,12,0.0405921632305121
8,lrvb,13,0.000291347183353658
8,lrvb,14,0.00109086749755963
8,lrvb,15,0.0405921632305121
8,lrvb,16,0
8,mfvb,1,0
8,mfvb,2,0.0031412271172651
8,mfvb,3,0
8,mfvb,4,0
8,mfvb,5,0.0031412271172651
8,mfvb,6,0
8,mfvb,7,0
8,mfvb,8,0
8,mfvb,9,0
8,mfvb,10,0
8,mfvb,11,0
8,mfvb,12,0.00994724140914647
8,mfvb,13,0
8,mfvb,14,0
8,mfvb,15,0.00994724140914647
8,mfvb,16,0
8,mcmc,1,0
8,mcmc,2,0.00832804782939572
8,mcmc,3,0.00040959043287907
8,mcmc,4,0.000172922713156469
8,mcmc,5,0.00832804782939572
8,mcmc,6,0
8,mcmc,7,0.00150608757063304
8,mcmc,8,0.000636400327041633
8,mcmc,9,0.00040959043287907
8,mcmc,10,0.00150608757063304
8,mcmc,11,0
8,mcmc,12,0.0433820249718368
8,mcmc,13,0.000172922713156469
8,mcmc,14,0.000636400327041633
8,mcmc,15,0.0433820249718368
8,mcmc,16,0
9,lrvb,1,0
9,lrvb,2,0.00554482832816705
9,lrvb,3,0.00320275055029123
9,lrvb,4,0.00117267671295682
9,lrvb,5,0.00554482832816705
9,lrvb,6,0
9,lrvb,7,0.00747074787747029
9,lrvb,8,0.00273539007384897
9,lrvb,9,0.00320275055029109
9,lrvb,10,0.00747074787746999
9,lrvb,11,0
9,lrvb,12,0.0578312323315042
9,lrvb,13,0.00117267671295676
9,lrvb,14,0.00273539007384886
9,lrvb,15,0.0578312323315042
9,lrvb,16,0
9,mfvb,1,0
9,mfvb,2,0.00178476123816977
9,mfvb,3,0
9,mfvb,4,0
9,mfvb,5,0.00178476123816977
9,mfvb,6,0
9,mfvb,7,0
9,mfvb,8,0
9,mfvb,9,0
9,mfvb,10,0
9,mfvb,11,0
9,mfvb,12,0.0108378783684338
9,mfvb,13,0
9,mfvb,14,0
9,mfvb,15,0.0108378783684338
9,mfvb,16,0
9,mcmc,1,0
9,mcmc,2,0.00580554368838982
9,mcmc,3,0.00240252434552105
9,mcmc,4,0.000855110046162064
9,mcmc,5,0.00580554368838982
9,mcmc,6,0
9,mcmc,7,0.00553860358001082
9,mcmc,8,0.00196839758150912
9,mcmc,9,0.00240252434552105
9,mcmc,10,0.00553860358001082
9,mcmc,11,0
9,mcmc,12,0.0545195634848122
9,mcmc,13,0.000855110046162064
9,mcmc,14,0.00196839758150912
9,mcmc,15,0.0545195634848122
9,mcmc,16,0
10,lrvb,1,0
10,lrvb,2,0.0019888024100345
10,lrvb,3,0.00317363471314174
10,lrvb,4,0.000733750377367522
10,lrvb,5,0.0019888024100345
10,lrvb,6,0
10,lrvb,7,0.00261417856914468
10,lrvb,8,0.000604403053594368
10,lrvb,9,0.00317363471314137
10,lrvb,10,0.00261417856914434
10,lrvb,11,0
10,lrvb,12,0.190119779252017
10,lrvb,13,0.000733750377367407
10,lrvb,14,0.00060440305359428
10,lrvb,15,0.190119779252017
10,lrvb,16,0
10,mfvb,1,0
10,mfvb,2,0.000409418860787098
10,mfvb,3,0
10,mfvb,4,0
10,mfvb,5,0.000409418860787098
10,mfvb,6,0
10,mfvb,7,0
10,mfvb,8,0
10,mfvb,9,0
10,mfvb,10,0
10,mfvb,11,0
10,mfvb,12,0.0171635871444407
10,mfvb,13,0
10,mfvb,14,0
10,mfvb,15,0.0171635871444407
10,mfvb,16,0
10,mcmc,1,0
10,mcmc,2,0.00195861839365172
10,mcmc,3,0.00283976196988176
